rate,n_veh_avg,igreedy_wt_mean,igreedy_wt_std,igreedy_comp_mean,lifo_wt_mean,lifo_wt_std,lifo_comp_mean,backpressure_wt_mean,backpressure_wt_std,backpressure_comp_mean,edf_wt_mean,edf_wt_std,edf_comp_mean,edf_vs_igreedy_pct,edf_vs_bp_pct,w_star,n_wstar_solved,n_wstar_unsolved,edf_gap_to_wstar_pct,igreedy_gap_to_wstar_pct,bp_gap_to_wstar_pct
0.1,6.088888888888889,0.280370738214621,0.237129752272067,0.9485653235653236,1.1833152800256828,0.3786852433543772,0.9297571564238232,0.011141873645026223,0.007880842730055584,0.9587505087505087,0.009289104974696859,0.006888890361877718,0.9587505087505087,96.68684933604371,16.628878852493965,0.01139244716342438,15,0,0.0,0.0,0.0
0.2,11.6,0.8199963535170957,0.10596761810056336,0.9492161143141535,2.92693492260002,0.09859190666473297,0.9060939187899972,0.08544097157827098,0.020319541095166024,0.9605714256694649,0.034928889105432806,0.009830623751403245,0.9605714256694649,95.7403604350657,59.119274441495484,0.0274850882467394,15,0,2.2105258506672048,1271.0131594294837,143.5024768286546
0.35,21.57777777777778,1.8029340160102933,0.18574262623731388,0.941723421801432,4.77899103073048,0.03455981242824993,0.8984598153757392,0.1355239466319313,0.038432491973043756,0.9627974943014045,0.08227187482639785,0.03250303402549031,0.9620038435077537,95.43677837925223,39.293477742468966,0.08491307385129716,15,0,44.3950833953364,2066.329164373834,105.96679257370626
0.5,30.31111111111111,2.838267755504795,0.24419663362662378,0.9094019316933766,6.287835575320654,0.27897668177590723,0.8573163991476672,0.27361144972114954,0.04828313792713266,0.9501409544079321,0.10457122770692938,0.022019924641685746,0.9517811660481437,96.3156672761365,61.781121435706396,0.08922978093641931,15,0,51.30244600690885,3156.718790503705,240.07882149132703
0.65,39.8,4.224203768376763,0.20347373843727684,0.9004865497011288,7.886781565392385,0.11919404659770098,0.8447783487882748,0.4483741548672963,0.04847248164666935,0.949211776830493,0.19260809464640127,0.011500905159428232,0.9515842630656378,95.4403692338825,57.04299800611683,0.092943013517196,15,0,99.54256129289843,5110.039091708867,449.56376278309506
0.8,47.84444444444444,5.217092531518199,0.13960408317023298,0.8696295958004274,9.440921023784522,0.22331047780097993,0.7882703170185952,0.6758317215059754,0.0884015616033685,0.94800405007514,0.3211526481306737,0.03498994357797204,0.9558004788943467,93.844221734798,52.48038262911958,0.15462075281971008,14,1,132.72204519808778,3360.121641551254,445.123222677929
1.0,59.355555555555554,6.466440730974896,0.1820879339059671,0.8368091829566477,10.927583996954672,0.269527873842385,0.7548698423843575,0.8826788381157775,0.006909895517552834,0.9416741787856613,0.397314326625793,0.051034559503560215,0.9521539107759862,93.85574935029378,54.98766828103351,0.1697841542127297,15,0,117.19338896986419,4056.428846901898,428.31905478675617
1.2,72.5111111111111,7.840312724758536,0.3059566779977912,0.8139109669285696,12.635550094507243,0.24236933995481025,0.7315264861285513,1.2556365986700204,0.1597835781102513,0.9394677571425932,0.5840782661704481,0.0712157507911725,0.9495082820235782,92.550319270735,53.48349460432197,0.225270035276904,9,6,172.73716323743182,3643.4810479814405,477.6976012746562
